Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2019,Dec,_Total,_Total,_Total,_Total,VIC,Hume,153,31,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,61,43,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5175,2648,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane Inner City,57556,33989,_Total
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2749,1018,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,5289,2379,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,3150,1518,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (North),6,4,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane Inner City,50707,24913,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - South West,861,431,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,5972,3204,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Southern Highlands and Shoalhaven,143,91,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Southern Highlands and Shoalhaven,90,57,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,89,42,_Total
2020,Dec,_Total,_Total,_Total,_Total,SA,South Australia - Outback,4,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner West,4112,2872,_Total
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2731,1347,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,4497,2198,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,734,325,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,626,209,_Total
2019,Dec,_Total,_Total,_Total,_Total,VIC,Ballarat,1625,811,_Total
2019,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,9,8,_Total
2020,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,22,16,_Total
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - South,5018,2616,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,20,15,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (South),65,37,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1455,999,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner South West,2388,1476,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Mandurah,97,68,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central West,4,4,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2700,998,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - South,5173,2472,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner West,4112,2872,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Townsville,4,4,Remote Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Perth - North West,8266,4474,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,1307,495,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,176,97,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (South),85,53,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,734,325,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North East,12827,6396,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,4,4,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1362,817,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - North West,4,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Shepparton,19,8,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Cairns,2473,1421,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,North West,185,143,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,TAS,Hobart,31,18,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,3049,1445,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Cairns,2594,1602,Outer Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,7,4,Remote Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1312,652,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,WA,Bunbury,112,71,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,84,54,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - Central and Hills,11,8,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,SA,Barossa - Yorke - Mid North,4,4,Outer Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,VIC,Geelong,4983,2172,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5175,2648,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central West,126,53,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Murray,34,19,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Mandurah,35,31,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Wide Bay,138,71,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Darling Downs - Maranoa,5,4,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,1328,668,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,WA,Perth - North West,6800,3878,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - West,4,4,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,South Australia - Outback,4,4,Remote Australia
2020,Dec,_Total,_Total,_Total,_Total,TAS,Launceston and North East,1323,441,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,TAS,Hobart,10080,5822,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,9,8,Outer Regional Australia
2018,Dec,Egypt,_Total,_Total,_Total,ACT,Australian Capital Territory,21,5,_Total
2018,Dec,Finland,_Total,_Total,_Total,ACT,Australian Capital Territory,19,16,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,ACT,Australian Capital Territory,28,18,_Total
2018,Dec,Namibia,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,ACT,Australian Capital Territory,94,46,_Total
2018,Dec,Portugal,_Total,_Total,_Total,ACT,Australian Capital Territory,11,7,_Total
2018,Dec,Serbia,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,ACT,Australian Capital Territory,237,98,_Total
2018,Dec,Stateless Person,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Yemen,_Total,_Total,_Total,ACT,Australian Capital Territory,5,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Central Coast,5,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,5,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Illawarra,2876,1290,_Total
2018,Dec,Egypt,_Total,_Total,_Total,NSW,Illawarra,9,4,_Total
2018,Dec,Finland,_Total,_Total,_Total,NSW,Illawarra,5,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,Illawarra,22,10,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NSW,Illawarra,10,8,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Illawarra,1216,639,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Illawarra,112,30,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Illawarra,86,36,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Illawarra,358,318,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,New England and North West,17,10,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,New England and North West,5,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,New England and North West,14,9,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,New England and North West,5,4,_Total
2018,Dec,Mozambique,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,New England and North West,10,4,_Total
2018,Dec,Andorra,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Bosnia and Herzegovina,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,52,31,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,228,97,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,421,269,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,7,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,100,62,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,13,8,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,182,71,_Total
2018,Dec,Mozambique,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,7,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,21,12,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Rwanda,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,13,7,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Vanuatu,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Richmond - Tweed,13,7,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Richmond - Tweed,13,6,_Total
2018,Dec,Israel,_Total,_Total,_Total,NSW,Richmond - Tweed,9,6,_Total
2018,Dec,Libya,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Richmond - Tweed,7,4,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Richmond - Tweed,11,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Ecuador,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,7,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,75,61,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,20,14,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,9,9,_Total
2018,Dec,Peru,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Swaziland,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Trinidad and Tobago,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - Blacktown,9,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - Blacktown,40,28,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - Blacktown,13,10,_Total
2018,Dec,Samoa ,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Blacktown,7,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - City and Inner South,16035,10622,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Iceland,_Total,_Total,_Total,NSW,Sydney - City and Inner South,7,4,_Total
2018,Dec,Jamaica,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - City and Inner South,397,206,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,NSW,Sydney - City and Inner South,494,269,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - City and Inner South,172,80,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - City and Inner South,142,65,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - City and Inner South,504,227,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - City and Inner South,21,8,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - City and Inner South,304,184,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,Sydney - City and Inner South,34,20,_Total
2018,Dec,Samoa ,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Sydney - City and Inner South,479,332,_Total
2018,Dec,Syria,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Sydney - City and Inner South,13,10,_Total
2018,Dec,Tunisia,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - City and Inner South,89,40,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,NSW,Sydney - City and Inner South,36,21,_Total
2018,Dec,Uzbekistan,_Total,_Total,_Total,NSW,Sydney - City and Inner South,108,52,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,196,62,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,13,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,421,277,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,20,16,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,121,85,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,481,264,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,87,38,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,147,73,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Slovenia,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,121,35,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Inner South West,13,11,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - Inner South West,109,51,_Total
2018,Dec,Malta,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Inner South West,51,36,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Sudan,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Inner South West,91,61,_Total
2018,Dec,Tonga,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Inner West,170,101,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - Inner West,8,5,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Sydney - Inner West,651,366,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - Inner West,236,162,_Total
2018,Dec,Argentina,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,13,10,_Total
2018,Dec,Australia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Bolivia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Brunei Darussalam,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Gaza Strip and West Bank,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,12,10,_Total
2018,Dec,Iraq,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,129,53,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,23,12,_Total
2018,Dec,Uruguay,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Botswana,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,5,4,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,188,117,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,91,51,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,12,9,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Luxembourg,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,18,6,_Total
2018,Dec,Philippines,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,35,21,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,44,25,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,401,250,_Total
2018,Dec,Argentina,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Barbados,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Hungary,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,8,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,10,4,_Total
2018,Dec,Georgia,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,79,22,_Total
2018,Dec,Iceland,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,15,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,25,7,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Latvia,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Lithuania,_Total,_Total,_Total,NSW,Sydney - Parramatta,7,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NSW,Sydney - Parramatta,12,8,_Total
2018,Dec,Nauru,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - Parramatta,129,55,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Parramatta,11,7,_Total
2018,Dec,Bolivia,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - Ryde,88,43,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - Ryde,91,45,_Total
2018,Dec,Georgia,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - Ryde,287,97,_Total
2018,Dec,Iceland,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Jamaica,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Ryde,55,26,_Total
2018,Dec,Macau,_Total,_Total,_Total,NSW,Sydney - Ryde,20,8,_Total
2018,Dec,Maldives,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - Ryde,17,5,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - Ryde,45,24,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - Ryde,10,8,_Total
2018,Dec,Romania,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Syria,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - Ryde,7,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,NSW,Sydney - Ryde,19,11,_Total
2018,Dec,Uzbekistan,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Germany,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - South West,17,12,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - South West,14,5,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Serbia,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
